"name","province"
"Livingstone","Southern"
"Sinazongwe","Southern"
"Kalulushi","Copperbelt"
"Gwembe","Southern"
"Monze","Southern"
"Kalomo","Southern"
"Choma","Southern"
"Kazungula","Southern"
"Siavonga","Southern"
"Namwala","Southern"
"Mulobezi","Western"
"Senanga","Western"
"Mongu","Western"
"Itezhi-Tezhi","Central"
"Luangwa","Lusaka"
"Rufunsa","Lusaka"
"Chienge","Luapula"
"Kabwe","Central"
"Masaiti","Copperbelt"
"Chadiza","Eastern"
"Nyimba","Eastern"
"Kitwe","Copperbelt"
"Katete","Eastern"
"Petauke","Eastern"
"Luano","Central"
"Mpongwe","Copperbelt"
"Kasenengwa","Eastern"
"Chavuma","North-Western"
"Mambwe","Eastern"
"Kasempa","North-Western"
"Luanshya","Copperbelt"
"Mufulira","Copperbelt"
"Chitambo","Central"
"Lumezi","Eastern"
"Solwezi","North-Western"
"Ndola","Copperbelt"
"Milenge","Luapula"
"Mwinilunga","North-Western"
"Samfya","Luapula"
"Chilubi","Northern"
"Mansa","Luapula"
"Chama","Muchinga"
"Luwingu","Northern"
"Shiwang'andu","Muchinga"
"Kasama","Northern"
"Mungwi","Northern"
"Kawambwa","Luapula"
"Mporokoso","Northern"
"Nakonde","Muchinga"
"Kaputa","Northern"
"Nchelenge","Luapula"
"Mpulungu","Northern"
"Nsama","Northern"
"Chirundu","Lusaka"
"Lunga","Luapula"
"Chembe","Luapula"
"Chinsali","Muchinga"
"Mkushi","Central"
"Pemba","Southern"
"Chongwe","Lusaka"
"Chisamba","Central"
"Lusaka","Lusaka"
"Sesheke","Western"
"Sikongo","Western"
"Chililabombwe","Copperbelt"
"Mufumbwe","North-Western"
"Luampa","Western"
"Zimba","Southern"
"Vubwi","Eastern"
"Mitete","Western"
"Limulunga","Western"
"Serenje","Central"
"Manyinga","North-Western"
"Mwansabombwe","Luapula"
"Chikankata","Southern"
"Shibuyunji","Lusaka"
"Chibombo","Central"
"Shang'ombo","Western"
"Zambezi","North-Western"
"Kabompo","North-Western"
"Ikelenge","North-Western"
"Kalumbila","North-Western"
"Mushindano","North-Western"
"Chingola","Copperbelt"
"Lufwanyama","Copperbelt"
"Lukulu","Western"
"Kafue","Lusaka"
"Isoka","Muchinga"
"Mafinga","Muchinga"
"Mwense","Luapula"
"Nalolo","Western"
"Chipili","Luapula"
"Sinda","Eastern"
"Kalabo","Western"
"Mwandi","Western"
"Sioma","Western"
"Kaoma","Western"
"Nkeyema","Western"
"Mumbwa","Central"
"Kapiri-Mposhi","Central"
"Ngabwe","Central"
"Mazabuka","Southern"
"Chilanga","Lusaka"
"Mpika","Muchinga"
"Lavushi Manda","Muchinga"
"Kanchibiya","Muchinga"
"Lunte","Northern"
"Senga Hill","Northern"
"Mbala","Northern"
"Lupososhi","Northern"
"Chifunabuli","Luapula"
"Chipata","Eastern"
"Chipangali","Eastern"
"Lundazi","Eastern"
"Chasefu","Eastern"
